x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
596121.8015141006,7262172.809161978,1019.66,J,22.0,136.69302710308693,61.32574589550495,5.219999999999914
596121.1955464176,7262174.651238561,1019.66,J,22.0,136.08705942006782,63.167822478339076,5.219999999999914
596120.7505583724,7262176.482905628,1019.68,J,22.0,135.64207137480844,64.99948954582214,5.239999999999895
596121.0111929365,7262178.615989,1019.68,J,22.0,135.90270593890455,67.13257291726768,5.239999999999895
596120.8048139294,7262180.631643249,1019.66,J,22.0,135.6963269318221,69.14822716638446,5.219999999999914
596121.3227087754,7262181.973959639,1019.66,J,22.0,136.21422177786008,70.49054355639964,5.219999999999914
596122.1069016602,7262183.82493831,1019.66,J,22.0,136.99841466266662,72.34152222797275,5.219999999999914
596122.3401701907,7262185.67974444,1019.67,J,22.0,137.2316831931239,74.19632835779339,5.2299999999999045
596122.8026069647,7262187.5793696605,1019.67,J,22.0,137.694119967171,76.09595357812941,5.2299999999999045
596123.7832982054,7262189.651759166,1019.66,J,22.0,138.67481120780576,78.168343083933,5.219999999999914
596124.5271213568,7262191.790765543,1019.66,J,22.0,139.41863435925916,80.30734946019948,5.219999999999914
596124.8529140963,7262193.542826343,1019.65,J,22.0,139.7444270987762,82.05941026099026,5.209999999999923
596125.1063169889,7262194.636352931,1019.65,J,22.0,139.9978299913928,83.1529368488118,5.209999999999923
596125.1412544644,7262194.784623897,1019.66,J,22.0,140.0327674668515,83.30120781436563,5.219999999999914
596125.5427522898,7262196.452616299,1019.65,J,22.0,140.43426529224962,84.96920021623373,5.209999999999923
596126.1259727568,7262198.657720752,1019.64,J,22.0,141.01748575922102,87.17430466972291,5.199999999999932
596126.3352389458,7262200.71689852,1019.62,J,22.0,141.22675194824114,89.2334824372083,5.17999999999995
596126.6483301832,7262203.08166236,1019.63,J,22.0,141.53984318568837,91.59824627730995,5.189999999999941
596126.9391315174,7262204.676172491,1019.63,J,22.0,141.8306445198832,93.19275640882552,5.189999999999941
596127.6874859446,7262206.248932539,1019.63,J,22.0,142.57899894705042,94.76551645621657,5.189999999999941
596128.2100355041,7262208.259533517,1019.64,J,22.0,143.10154850652907,96.77611743472517,5.199999999999932
596128.3073697686,7262210.068872755,1019.63,J,22.0,143.19888277107384,98.58545667305589,5.189999999999941
596128.2593818221,7262211.702856797,1019.64,J,22.0,143.15089482453186,100.21944071445614,5.199999999999932
596128.21784052,7262211.823819021,1019.65,J,22.0,143.10935352242086,100.34040293842554,5.209999999999923
596128.171952447,7262212.53886622,1019.65,J,22.0,143.06346544949338,101.05545013770461,5.209999999999923
596128.1264895219,7262214.534831379,1019.66,J,22.0,143.01800252438989,103.05141529627144,5.219999999999914
596128.4461952178,7262216.6303729825,1019.67,J,22.0,143.33770822023507,105.14695690013468,5.2299999999999045
596128.9330236312,7262218.381314842,1019.67,J,22.0,143.82453663367778,106.89789875969291,5.2299999999999045
596129.4072995828,7262220.763529858,1019.64,J,22.0,144.29881258530077,109.2801137752831,5.199999999999932
596129.6600323808,7262222.980210351,1019.64,J,22.0,144.55154538329225,111.49679426848888,5.199999999999932
596129.927788543,7262224.918319129,1019.64,J,22.0,144.81930154550355,113.43490304704756,5.199999999999932
596130.2985417373,7262227.041346103,1019.64,J,22.0,145.190054739709,115.55793002061546,5.199999999999932
596130.8974322088,7262229.060696599,1019.65,J,22.0,145.788945211214,117.57728051673621,5.209999999999923
596131.0115856678,7262230.851347802,1020.45,J,22.0,145.9030986703001,119.36793171986938,6.009999999999991
596131.3064405958,7262233.0306044035,1020.45,J,22.0,146.19795359822456,121.54718832112849,6.009999999999991
596131.4560476859,7262235.043785342,1020.44,J,22.0,146.3475606883876,123.56036925967783,6.0
596131.3957268044,7262236.120931474,1020.44,J,22.0,146.287239806843,124.63751539122313,6.0
596131.464947136,7262236.32466655,1020.43,J,22.0,146.3564601384569,124.84125046804547,5.989999999999895
596131.6003408638,7262237.511835372,1020.44,J,22.0,146.4918538662605,126.02841928973794,6.0
596132.030367814,7262239.625170433,1020.44,J,22.0,146.92188081645872,128.14175435062498,6.0
596132.3681187357,7262241.878391345,1020.44,J,22.0,147.2596317381831,130.39497526269406,6.0
596132.6854394276,7262243.630510802,1020.44,J,22.0,147.57695243007038,132.14709472004324,6.0
596133.2260248524,7262245.798768915,1020.41,J,22.0,148.11753785482142,134.3153528328985,5.969999999999914
596133.5709057639,7262247.857004274,1020.42,J,22.0,148.46241876634303,136.37358819134533,5.9799999999999045
596133.8186737986,7262249.358990798,1020.42,J,22.0,148.7101868010359,137.8755747154355,5.9799999999999045
